comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda,direccion
Cerrillos,Casa 204mts En Venta De 2 Dorm. En Cerrillos,3500.0,204.0,84.0,1,2,0,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1713132693-casa-204mts-en-venta-de-2-dorm-en-cerrillos-_JM,casa,"Guadalajara Cerrillos, El Mirador, Cerrillos, RM (Metropolitana)"
Cerrillos,"Casa 3dorm-3baños En Condominio, Cerrillos, Mall P. Oeste",4350.0,122.0,87.0,3,3,12,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1704680221-casa-3dorm-3banos-en-condominio-cerrillos-mall-p-oeste-_JM,casa,"Av. Los Libertadores 7200 - 7500, Cerrillos, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa En Excelente Ubicacion,3600.0,128.0,70.0,2,3,21,1,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1677327241-casa-en-excelente-ubicacion-_JM,casa,"Sikorsky 7431, Cerrillos, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,"Linda Casa, Para Llegar Y Habitar",7500.0,150.0,137.0,3,4,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1701681337-linda-casa-para-llegar-y-habitar-_JM,casa,"Linda Casa, Para Llegar Y Habitar, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,"Casa 3d,1b 113/136m2 Residencial",2950.0,182.0,113.0,1,3,35,1,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3221857790-casa-3d1b-113136m2-residencial-_JM,casa,"Blest Gana 3061, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Linda Casa Con Amplios Espacios,9000.0,164.0,85.0,5,6,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3167762198-linda-casa-con-amplios-espacios-_JM,casa,"Linda Casa Con Amplios Espacios, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,"Linda Casa, Para Llegar Y Habitar",6790.0,180.0,150.0,3,4,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3168242090-linda-casa-para-llegar-y-habitar-_JM,casa,"Linda Casa, Para Llegar Y Habitar, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Remodelada En Pasaje Cerrado 3d-2b,3590.0,124.0,76.0,2,3,17,1,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3174048286-remodelada-en-pasaje-cerrado-3d-2b-_JM,casa,"Los Nísperos 7551, Cerrillos, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Linda Casa Remodelada 3d-1b Villa Vista Alegre Cerrillos,3580.0,161.0,63.0,1,3,31,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1725249277-linda-casa-remodelada-3d-1b-villa-vista-alegre-cerrillos-_JM,casa,"Avenida Pablo Neruda, 3001, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa A Minutos De Mall Plaza Oeste,4390.0,122.0,87.0,3,3,12,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3001068846-casa-a-minutos-de-mall-plaza-oeste-_JM,casa,"Av. Los Libertadores 7200 - 7500, Cerrillos, Plaza Oeste, Cerrillos, RM (Metropolitana)"
