comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda
Cerro Navia,¡oportunidad En Cerro Navia: Casa 3d/1b Por $70m!,,120.0,40.0,1,3,0,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1686910019-oportunidad-en-cerro-navia-casa-3d1b-por-70m-_JM,casa
Cerro Navia,Sitio Habitacional / Parque Intercomunal Cerro Navia,,244.0,244.0,1,1,0,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1703121903-sitio-habitacional-parque-intercomunal-cerro-navia-_JM,casa
Cerro Navia,2 Casas Independientes 77 M2 (120010),,0.0,0.0,0,0,50,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1705523533-2-casas-independientes-77-m2-120010-_JM,casa
Cerro Navia,Casa En Venta En Cerro Navia,,162.0,68.0,1,3,40,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1715991843-casa-en-venta-en-cerro-navia-_JM,casa
Cerro Navia,Oportunidad / Propiedad Con 2 Casas En Venta,,196.0,170.0,3,5,15,3,True,True,True,False,True,True,True,https://portalinmobiliario.com/MLC-1710394779-oportunidad-propiedad-con-2-casas-en-venta-_JM,casa
Cerro Navia,Venta Casa Recibimos Ofertas Al Contado,,61.0,61.0,1,3,39,1,True,True,True,False,True,True,True,https://portalinmobiliario.com/MLC-3019533882-venta-casa-recibimos-ofertas-al-contado-_JM,casa
Cerro Navia,"Se Vende Casa En Villa Lomas Del Prado, Cerro Navia",,95.0,0.0,1,4,13,1,True,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-3239311520-se-vende-casa-en-villa-lomas-del-prado-cerro-navia-_JM,casa
Cerro Navia,Se Vende 2 Casas Idel Inversion,,118.0,57.0,1,7,46,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1681497635-se-vende-2-casas-idel-inversion-_JM,casa
Cerro Navia,Propiedad Rebajada  Casa En Venta,2560.0,162.0,92.0,2,3,44,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3217972978-propiedad-rebajada-casa-en-venta-_JM,casa
Cerro Navia,Casa En Venta De 12 Dormitorios En Cerro Navia,,192.0,102.0,7,12,27,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3108144094-casa-en-venta-de-12-dormitorios-en-cerro-navia-_JM,casa
